person_id,name,eligible,missed
400179,Rep. Rubén Hinojosa [D-TX15],519,146
412200,Sen. Mazie Hirono [D-HI],271,1
412494,Sen. John Hoeven [R-ND],271,2
412553,Rep. George Holding [R-NC13],519,4
400185,Rep. Michael “Mike” Honda [D-CA17],519,7
400189,Rep. Steny Hoyer [D-MD5],519,18
412550,Rep. Richard Hudson [R-NC8],519,23
412429,Rep. Tim Huelskamp [R-KS1],519,9
412511,Rep. Jared Huffman [D-CA2],519,10
412437,Rep. Bill Huizenga [R-MI2],519,5
412422,Rep. Randy Hultgren [R-IL14],519,9
412283,Rep. Duncan Hunter [R-CA50],519,5
412654,Rep. Will Hurd [R-TX23],519,2
412484,Rep. Robert Hurt [R-VA5],519,14
300055,Sen. James “Jim” Inhofe [R-OK],271,2
400194,Sen. John “Johnny” Isakson [R-GA],271,2
400195,Rep. Steve Israel [D-NY3],519,17
400196,Rep. Darrell Issa [R-CA49],519,0
400199,Rep. Sheila Jackson Lee [D-TX18],519,69
412561,Rep. Hakeem Jeffries [D-NY8],519,8
412663,Rep. Evan Jenkins [R-WV3],519,15
412284,Rep. Lynn Jenkins [R-KS2],519,0
412460,Rep. Bill Johnson [R-OH6],519,0
400204,Rep. Eddie Johnson [D-TX30],519,18
412199,Rep. Henry “Hank” Johnson [D-GA4],519,22
412496,Sen. Ron Johnson [R-WI],271,0
400206,Rep. Sam Johnson [R-TX3],519,14
412603,Rep. David Jolly [R-FL13],519,9
400209,Rep. Walter Jones [R-NC3],519,19
412226,Rep. Jim Jordan [R-OH4],519,9
412566,Rep. David Joyce [R-OH14],519,7
412582,Sen. Timothy Kaine [D-VA],271,0
400211,Rep. Marcy Kaptur [D-OH9],519,40
412649,Rep. John Katko [R-NY24],519,6
412435,Rep. William Keating [D-MA9],519,19
412465,Rep. Mike Kelly [R-PA3],519,1
412595,Rep. Robin Kelly [D-IL2],519,30
412673,Rep. Trent Kelly [R-MS1],211,26
412543,Rep. Joseph Kennedy [D-MA4],519,7
412546,Rep. Daniel Kildee [D-MI5],519,14
412583,Rep. Derek Kilmer [D-WA6],519,0
400218,Rep. Ron Kind [D-WI3],519,16
412545,Sen. Angus King [I-ME],271,10
400219,Rep. Peter “Pete” King [R-NY2],519,7
400220,Rep. Steve King [R-IA4],519,10
412421,Rep. Adam Kinzinger [R-IL16],519,6
400222,Sen. Mark Kirk [R-IL],271,19
412286,Rep. Ann Kirkpatrick [D-AZ1],519,17
400224,Rep. John Kline [R-MN2],519,0
412242,Sen. Amy Klobuchar [D-MN],271,1
412614,Rep. Steve Knight [R-CA25],519,6
412557,Rep. Ann Kuster [D-NH2],519,3
412674,Rep. Darin LaHood [R-IL18],23,0
412510,Rep. Doug LaMalfa [R-CA1],519,7
412419,Rep. Raúl Labrador [R-ID1],519,17
412191,Rep. Doug Lamborn [R-CO5],519,18
412290,Rep. Leonard Lance [R-NJ7],519,0
400230,Rep. James “Jim” Langevin [D-RI2],519,13
412464,Sen. James Lankford [R-OK],271,0
400232,Rep. Rick Larsen [D-WA2],519,6
400233,Rep. John Larson [D-CT1],519,14
412256,Rep. Robert Latta [R-OH5],519,0
412638,Rep. Brenda Lawrence [D-MI14],519,6
300065,Sen. Patrick Leahy [D-VT],271,1
400237,Rep. Barbara Lee [D-CA13],519,85
412495,Sen. Mike Lee [R-UT],271,20
400238,Rep. Sander Levin [D-MI9],519,18
400240,Rep. John Lewis [D-GA5],519,55
412616,Rep. Ted Lieu [D-CA33],519,30
400630,Rep. Daniel Lipinski [D-IL3],519,20
400244,Rep. Frank LoBiondo [R-NJ2],519,0
412209,Rep. David Loebsack [D-IA2],519,13
400245,Rep. Zoe Lofgren [D-CA19],519,73
412445,Rep. Billy Long [R-MO7],519,53
412624,Rep. Barry Loudermilk [R-GA11],519,4
412656,Rep. Mia Love [R-UT4],519,5
412521,Rep. Alan Lowenthal [D-CA47],519,2
400246,Rep. Nita Lowey [D-NY17],514,6
400247,Rep. Frank Lucas [R-OK3],519,4
412292,Rep. Blaine Luetkemeyer [R-MO3],519,4
412558,Rep. Michelle Lujan Grisham [D-NM1],519,45
